tenure,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,MonthlyCharges,TotalCharges,InternetService_DSL,InternetService_Fiber optic,InternetService_No,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Contract_Month-to-month,Contract_One year,Contract_Two year
0.01831657811999321,-0.0351267009973526,-0.0012769282329827547,0.026553679257631302,0.006434690207242966,-0.05139318108558655,-0.010331975296139717,-0.02523365430533886,-0.04152815416455269,0.02529170922935009,-0.010243721306324005,0.03069237247109413,-0.028851591050624847,-0.010593044571578503,0.01396958902478218,0.019795209169387817,0.030395055189728737
0.11468412727117538,-0.0016539085190743208,0.0002847001014743,0.02020600251853466,0.006896692328155041,-0.11189889907836914,-0.005656284745782614,-0.009973852895200253,-0.004000459332019091,0.01592438668012619,-0.02518332004547119,0.011273881420493126,-0.068232461810112,-0.011029449291527271,0.010435150004923344,0.017844466492533684,0.0536748468875885
-0.11003389954566956,-0.04612741619348526,-0.012459499761462212,-0.006943847984075546,-0.04018452763557434,0.01848125457763672,0.020756056532263756,0.004659135360270739,0.0008111216593533754,0.0016598402289673686,0.022755416110157967,-0.0009735175408422947,-0.030575277283787727,0.0016889203106984496,0.02284386195242405,-0.008671202696859837,-0.07606834918260574
0.13846354186534882,0.04275839775800705,0.016447920352220535,0.007866726256906986,0.03865352272987366,0.1311170607805252,-0.030099816620349884,0.02152913808822632,0.017948852851986885,0.05433661863207817,-0.007938496768474579,-0.0028522980865091085,0.0341167114675045,0.0025066500529646873,-0.03165039047598839,0.042007219046354294,0.026711685582995415
-0.025077782571315765,-0.02163778617978096,0.032366082072257996,-0.05593805015087128,-0.08542674034833908,0.19513462483882904,-0.03611919283866882,-0.005001373123377562,-0.03453833609819412,0.016602270305156708,0.0006326408474706113,0.0033940111752599478,0.06029510498046875,-0.00565188005566597,0.05992366746068001,-0.2205146998167038,0.027485070750117302
0.34292250871658325,0.04792126640677452,0.020450685173273087,0.01948312669992447,0.04258662089705467,0.031698793172836304,0.03679071366786957,-0.005329767242074013,0.013711008243262768,0.024454496800899506,0.008747470565140247,0.0006690373993478715,-0.03823001682758331,0.006080704741179943,-0.018292460590600967,-0.009674441069364548,0.03720606118440628
-0.11475982517004013,-0.04995016008615494,-0.0025837889406830072,0.0018362951232120395,-0.0654018223285675,0.04189974442124367,0.005828510038554668,0.00323221436701715,0.012013600207865238,0.008998353034257889,-0.008583023212850094,-0.003492443822324276,-0.019895039498806,-0.04251396283507347,0.030323496088385582,-0.01773180440068245,0.005023487377911806
-0.015451004728674889,0.03176886588335037,0.00886891782283783,0.028658177703619003,0.025741174817085266,0.044084060937166214,-0.01766532100737095,0.02598731592297554,0.007104456424713135,0.03900805115699768,-0.03645038232207298,-0.0034966939128935337,0.05014319345355034,0.006613196339458227,-0.013202334754168987,0.03201345354318619,0.03685985878109932
-0.07912754267454147,0.044494304805994034,0.0048591215163469315,-0.04902752861380577,0.028679151087999344,0.0704701691865921,0.027023112401366234,0.03401898965239525,-0.011356186121702194,0.02733730711042881,-0.016175059601664543,0.0023520789109170437,0.0431232824921608,0.02109692618250847,-0.029255695641040802,0.002054773271083832,0.025162456557154655
-0.046759072691202164,0.06723275780677795,-0.03408995270729065,0.015260514803230762,0.023855989798903465,-0.06212354078888893,-0.018695715814828873,-0.04969111829996109,-0.018273096531629562,0.03613036870956421,0.05034980922937393,-0.0008245104691013694,0.03212755545973778,-0.015792492777109146,-0.004557963460683823,0.029328003525733948,0.08429054915904999
0.11555977165699005,0.023005954921245575,-0.0008956223027780652,-0.012118233367800713,0.009559585712850094,-0.0852951928973198,0.007071234751492739,-0.0018897266127169132,-0.02279553934931755,-0.09072619676589966,-0.009998678229749203,0.0004012581193819642,-0.02970556914806366,0.005868865642696619,-0.002617099555209279,0.0024087729398161173,0.017370345070958138
0.15415385365486145,0.054741181433200836,0.03533848375082016,-0.036687277257442474,0.030927009880542755,0.14962869882583618,-0.026671921834349632,-0.0017152028158307076,0.024618206545710564,0.025128202512860298,0.013255509547889233,-0.0024094434920698404,0.05264079570770264,-0.008079340681433678,-0.05162889510393143,0.020791837945580482,0.03993063047528267
